number,title,desc,level
74,พลังอารมณ์ที่อ่อนไหว,มีความสำเร็จดี ถึงไม่ก้าวหน้าสูงสุด ก็ประสบความสำเร็จในระดับหนึ่ง ระวังอย่าหูเบาเชื่อคนง่าย,0
75,พลังต้นร้ายปลายดี,ต้นร้ายปลายดี คือเบื้องต้นไม่ประสบความสำเร็จ แต่บั้นปลายชีวิตจะรุ่งโรจน์มาก ชีวิตมีความวุ่นวาย มักถูกตำหนิจากผู้ใหญ่ ผู้ใหญ่ให้โทษ เลขนี้ไม่เหมาะกับนักธุรกิจ,1
76,พลังความยากลำบาก,ไม่ดีเลย ชีวิตมักจะอับเฉา บ้านแตกสาแหรกขาด ไม่มีความสุขในชีวิตสมรสมักร้างคู่,1
77,พลังแห่งความกดดัน,ไม่ดีเลย บ่งถึงความทุกข์สองเท่า มีแต่ความโชคร้าย มักมีโรคภัยไข้เจ็บ ชีวิตเหน็ดเหนื่อยมาก แต่ดีตรงที่มีคนยำเกรง มีอำนาจบารมี,1
78,พลังแห่ง ความเดือดร้อน,ไม่ค่อยดีนัก เจอเรื่องร้ายๆ บ่อย ให้ระวังเรื่องอุบัติเหตุและคดีความ อย่าใจอ่อนเชื่อคนง่าย,1
79,พลังทรัพย์และสุขภาพ,จัดอยู่ในเกณฑ์ดี มีฐานะมั่นคง บรรพบุรุษเป็นคนดี สร้างฐานะไว้ดี คุณจะได้รับทรัพย์มรดก หรือสิ่งที่ท่านสร้างไว้ให้ ไม่เดือดร้อนเรื่องการเงิน ลงทุนทำธุรกิจอะไรก็จะประสบความสำเร็จ แต่อย่าหักโหมจนลืมรักษาสุขภาพตัวเอง สุขภาพดีมาก ไม่มีโรคภัยไข้เจ็บ แต่หากมีก็หายในไม่ช้า ชีวิตมีอุปสรรคบ้างแต่ไม่ค่อยมาก ต้องลำบากก่อนจึงจะได้ดี,0
80,พลังอัปมงคล,ไม่ดีมากๆ เลย ถูกครอบงำ ถูกข่มเหงรังแกจากคนไม่ดี (คนพาล) ถูกข่มขี่ ถูกปล้นจี้ ชิงทรัพย์ ผู้หญิงระวังการถูกฆ่าข่มขืน,1
81,พลังการพลัดพราก,ไม่ดีเลย กำพร้า อาภัพ พลัดพรากจากบุพการี อยู่ไม่เป็นที่ โยกย้ายบ่อย แต่ชะตาชีวิตก็รุ่งเรืองดี,1
82,พลังที่ไม่มั่นคง,ชีวิตมักจะหว้าเหว่หงอยเหงา ถ้าเป็นชายมีโอกาสไร่คู่ หรืออาภัพคู่ ถ้าเป็นหญิงจะมีพ่อหม้ายเข้ามาพัวพัน,1
83,พลังความผิดพลาด,ไม่ดี มักมีเหตุให้แตกหักเสียหายเสมอ ระวังภัยคุกคามจากคนไม่ดี (คนพาล) ระวังอย่าเชื่อคนง่าย,1
84,พลังเลขร้าย,เป็นเลขไม่ดีเลย มักประสบชะตากรรมไม่ดี (โชคร้าย) ระวังเรื่องอุบัติเหตุ คดีความ,1
85,พลังความหลงผิด,อาจหลงผิดได้ง่าย ลืมตัว เอาแต่ใจตัวเอง มักกำพร้าและขาดที่พึ่ง,1
86,พลังสำเร็จที่ต้องตั้งใจ,ชีวิตทางโลกจะประสบความสำเร็จ แต่พ่ายแพ้ทางโลกีย์ ชีวิตจะลุ่มหลงมัวเมา ระวังจิตใจที่ใฝ่ไปในทางไม่ดี,1
87,พลังรักลวง,เป็นคนมีเสน่ห์ แต่จิตใจอ่อนไหวง่าย เจ้าอารมณ์ อมทุกข์ มักหลงผิด หูเบา เชื่อใจคนง่าย ชีวิตบั้นปลายจึงมักตกต่ำ,1
88,พลังความสำเร็จที่แฝงความความร้ายแรง,ชีวิตประสบความสำเร็จอย่างรวดเร็ว แต่ระวังเรื่องอุบัติเหตุ หรือสิ่งที่ไม่คาดคิดอย่างฉับพลัน,1
89,พลังแห่งความเชื่อ,เป็นคนหัวไว ฉลาด เข้าสังคมได้ดีทุกระดับ แต่ข้อเสียต้้องระวังการลุ่มหลง,1
90,พลังสิ่งศักดิ์สิทธิ์คุ้มครอง,เชื่อเรื่องโชคลาง ดวงดีมีสิ่งศักดิ์สิทธิ์คุ้มครอง มักแคล้วคลาดจากอันตรายต่างๆ ตกน้ำไม่ไหลตกไฟไม่ไหม้ มีปาฏิหาริย์บ่อยๆ เลขนี้ดีมีความปลอดภัยในชีวิต ดีมาก มีเทวดารักษาคุ้มครอง เรื่องหน้าที่การงานการเงินการดำเนินชีวิตถือว่าก้าวหน้าได้มาก,0
91,พลังความการแสวงหา,เป็นคนใฝ่หาความก้าวหน้า มีความพยายาม ขยันขันแข็ง แต่ชอบสันโดษ ชีวิตบางครั้งเหมือนอมทุกข์ ด้านการงานดีมาก แต่เสียด้านสุขภาพ ระวังจะมีโรคภัยเบียดเบียน,0
92,พลังอนุรักษ์นิยม,ค่อนข้างหัวอนุรักษ์นิยม ชื่นชอบและสะสมของเก่า ชอบเรื่องในอดีต รักการค้นคว้า มีความอ่อนโยน มีเพื่อนฝูงมาก,0
93,เป็นเลขที่บอกถึงบอกความสำเร็จที่รุ่มร้อน,เป็นคนแข็งกร้าว เอาแต่ใจตัวเอง ชีวิตมักจะประสบอุบัติเหตุอยู่เสมอ,1
94,พลังหลงงมงาย,ไม่ค่อยดี มีความสำเร็จแต่ชีวิตมีอุปสรรคมาก ต้องผ่าฟันอุปสรรคอยู่เสมอ,1
95,พลังความสำเร็จบารมี,เป็นมงคลและมีผลดีมากๆ เป็นผู้โชคดีอยู่เสมอ มีคนคอยช่วยเหลือและคุ้มครอง มีเกียติยศชื่อเสียง มีคนนับถือมาก อยู่ในศีลธรรมอันดี หยั่งรู้เหตุการณ์ล่วงหน้า คู่ครองดีรักคุณมาก เกื้อกูลกันตลอดไป ตกน้ำไม่ไหลตกไฟไม่ไหม้,0
96,พลังที่อ่อนแอ,เป็นคนใจอ่อน ระวังการหลงผิด ถ้าคบคนดีก็ดีไป ถ้าคบคนชั่ว ก็จะชั่วตามเขาไปด้วย,1
97,พลังความรุ่งโรจน์,เป็นเลขดีชีวิตมีความรุ่งโรจน์ เหมือนฟ้าประทาน ประสบความสำเร็จในตำแหน่งหน้าที่การงาน ค้าขายได้กำไร ร่ำรวยด้วยทรัพย์สินเงินทอง มีคนเคารพนับถือ มีเกียรติในสังคม มีเพื่อนมากมาย แต่ควรระวังเรื่องอุบัติเหตุ อย่าประมาท ควรทำบุญสะเดาะเคราะห์จะเสริมดวงชะตาได้มาก,0
98,พลังลาภลอย, ชีวิตประสบความสำเร็จดี มีพวกพ้องมาก ระวังเรื่องการคบคน,0
99,พลังการหยั่งรู้,มีอำนาจพิเศษ มีญาณหยั่งรู้เหตุการณ์ล่วงหน้าได้อย่างแม่นยำ มีประสาทสัมผัสพิเศษ มีพลังทางจิต ทำอะไรพระคุ้มครอง มีความเจริญและมีความสุข,0
100,พลังแห่งสมดุลจักรวาล,เป็นเลขมงคลมาก โชคดีมีลาภ ชีวิตจะรุ่งเรืองเฟื่องฟูมาก มีการงานตำแหน่งสูง หน้าที่การงาน การเงินก้าวหน้าก้าวไกล เกียติยศปรากฏไกล มีเกียรติในสังคม สมบูรณ์ทุกอย่าง สุขภาพดี ไม่มีโรคภัยไข้เจ็บ,0
